product_code,fiscal_year,gross_price
A2918150104,2020,9.2172
A2918150104,2021,8.9514
A2918150104,2022,10.3002
A2918150105,2018,8.5540
A2918150105,2019,7.9601
A2918150105,2020,9.0206
A2918150105,2021,9.4650
A2918150105,2022,9.8071
A2918150106,2018,9.5093
A2918150106,2019,8.6429
A2918150106,2020,9.7651
A2918150106,2021,10.4188
A2918150106,2022,11.1728
A3018150201,2018,10.0629
A3018150201,2019,10.2907
A3018150201,2020,10.1318
A3018150201,2021,10.7955
A3018150201,2022,11.5340
A3018150202,2018,9.9546
A3018150202,2019,8.5191
A3018150202,2020,10.7548
A3018150202,2021,11.0524
A3018150202,2022,12.4838
A3018150203,2018,11.8215
A3018150203,2019,11.3781
A3018150203,2020,11.4191
A3018150203,2021,12.3739
A3018150203,2022,12.8363
A3019150204,2018,10.9748
A3019150204,2019,9.8846
A3019150204,2020,10.5568
A3019150204,2021,11.6011
A3019150204,2022,12.8300
A3019150205,2018,10.4114
A3019150205,2019,10.2095
A3019150205,2020,11.4364
A3019150205,2021,12.0509
A3019150205,2022,12.2334
A3019150206,2018,12.2966
A3019150206,2019,11.6773
A3019150206,2020,12.8819
A3019150206,2021,13.0018
A3019150206,2022,14.3065
A3119150301,2019,12.2524
A3119150301,2020,12.9355
A3119150301,2021,13.5061
A3119150301,2022,14.2861
A3119150302,2019,11.3919
A3119150302,2020,14.0538
A3119150302,2021,15.3071
A3119150302,2022,15.6578
A3119150303,2019,11.9158
A3119150303,2020,14.8815
A3119150303,2021,16.2407
A3119150303,2022,16.6577
A3120150304,2019,12.5841
A3120150304,2020,14.0641
A3120150304,2021,16.3792
A3120150304,2022,17.2113
A3120150305,2019,14.7624
A3120150305,2020,16.1161
A3120150305,2021,16.3218
A3120150305,2022,16.8988
A3120150306,2019,15.3904
A3120150306,2020,16.6688
A3120150306,2021,19.3003
A3120150306,2022,18.1428
A3220150401,2019,15.0206
A3220150401,2020,16.3836
A3220150401,2021,18.4943
A3220150401,2022,18.9946
A3220150402,2019,16.0981
A3220150402,2020,19.5757
A3220150402,2021,18.7947
A3220150402,2022,21.2328
A3220150403,2020,18.6726
A3220150403,2021,18.5844
A3220150403,2022,20.0617
A3220150404,2020,18.2513
A3220150404,2021,18.4219
A3220150404,2022,21.3932
A3220150405,2020,18.1401
A3220150405,2021,18.9415
A3220150405,2022,21.2330
