customer_code,fiscal_year,pre_invoice_discount_pct
90004064,2020,0.2174
90004064,2021,0.2235
90004064,2022,0.3027
90004065,2018,0.1992
90004065,2019,0.2126
90004065,2020,0.2310
90004065,2021,0.2967
90004065,2022,0.2662
90004066,2018,0.2489
90004066,2019,0.2645
90004066,2020,0.2728
90004066,2021,0.1830
90004066,2022,0.2771
90004067,2018,0.2501
90004067,2019,0.2545
90004067,2020,0.2905
90004067,2021,0.2672
90004067,2022,0.2772
90004068,2018,0.2728
90004068,2019,0.3090
90004068,2020,0.2453
90004068,2021,0.1977
90004068,2022,0.2856
90005159,2018,0.2135
90005159,2019,0.2096
90005159,2020,0.2631
90005159,2021,0.2976
90005159,2022,0.3056
90005160,2018,0.2599
90005160,2019,0.2897
90005160,2020,0.2892
90005160,2021,0.2314
90005160,2022,0.2840
90005161,2018,0.2025
90005161,2019,0.1813
90005161,2020,0.2329
90005161,2021,0.1958
90005161,2022,0.2628
90005162,2018,0.3040
90005162,2019,0.2021
90005162,2020,0.1807
90005162,2021,0.1969
90005162,2022,0.2347
90006153,2018,0.2970
90006153,2019,0.2758
90006153,2020,0.1910
90006153,2021,0.1864
90006153,2022,0.1900
90006156,2018,0.2552
90006156,2019,0.2347
90006156,2020,0.2136
90006156,2021,0.2195
90006156,2022,0.2079
90007197,2018,0.2031
90007197,2019,0.1903
90007197,2020,0.2182
90007197,2021,0.2009
90007197,2022,0.2989
90008164,2018,0.3009
90008164,2019,0.2233
90008164,2020,0.2716
90008164,2021,0.2499
90008164,2022,0.1818
90008165,2018,0.2849
90008165,2019,0.2483
90008165,2020,0.2609
90008165,2021,0.2136
90008165,2022,0.2728
90008166,2018,0.2884
90008166,2019,0.2281
90008166,2020,0.1987
90008166,2021,0.3063
90008166,2022,0.2636
90008167,2018,0.1947
90008167,2019,0.1859
90008167,2020,0.2971
90008167,2021,0.2339
90008167,2022,0.2406
90008168,2018,0.3005
90008168,2019,0.1972
90008168,2020,0.3018
90008168,2021,0.2511
90008168,2022,0.2549
90009127,2018,0.2343
90009127,2019,0.2304
90009127,2020,0.2870
90009127,2021,0.2964
90009127,2022,0.2385
90009128,2018,0.2311
90009128,2019,0.2533
90009128,2020,0.2197
90009128,2021,0.1818
90009128,2022,0.3064
90009129,2018,0.2568
90009129,2019,0.3043
90009129,2020,0.2386
90009129,2021,0.1809
90009129,2022,0.2160
90009130,2018,0.2413
90009130,2019,0.2107
90009130,2020,0.2346
90009130,2021,0.1800
90009130,2022,0.3065
90009131,2018,0.2024
90009131,2019,0.2642
90009131,2020,0.2757
90009131,2021,0.3015
90009131,2022,0.2316
90009132,2018,0.3060
90009132,2019,0.2900
90009132,2020,0.3008
90009132,2021,0.2566
90009132,2022,0.3067
90010044,2018,0.2708
90010044,2019,0.3012
90010044,2020,0.1851
90010044,2021,0.2594
90010044,2022,0.2944
90010045,2018,0.1951
90010045,2019,0.2793
90010045,2020,0.2558
90010045,2021,0.2883
90010045,2022,0.1982
90010046,2018,0.1876
90010046,2019,0.2632
90010046,2020,0.1859
90010046,2021,0.3034
90010046,2022,0.1804
90011185,2018,0.2779
90011185,2019,0.2704
90011185,2020,0.1927
90011185,2021,0.2613
90011185,2022,0.1978
90011186,2018,0.2091
90011186,2019,0.2740
90011186,2020,0.2906
90011186,2021,0.2401
90011186,2022,0.2887
90011187,2018,0.2924
90011187,2019,0.2887
90011187,2020,0.2644
90011187,2021,0.2899
90011187,2022,0.1810
90011188,2018,0.2233
90011188,2019,0.2862
90011188,2020,0.2404
90011188,2021,0.2996
90011188,2022,0.2122
90011189,2018,0.2992
90011189,2019,0.2497
90011189,2020,0.2054
90011189,2021,0.2933
90011189,2022,0.2272
90011190,2018,0.2717
90011190,2019,0.3038
90011190,2020,0.1928
90011190,2021,0.1829
90011190,2022,0.2799
