product_code,cost_year,manufacturing_cost
A2219150205,2019,1.9293
A2219150205,2020,2.1379
A2219150205,2021,2.3755
A2219150205,2022,2.4705
A2219150206,2019,2.2606
A2219150206,2020,2.4276
A2219150206,2021,2.4521
A2219150206,2022,2.5257
A2319150301,2019,2.1622
A2319150301,2020,2.4751
A2319150301,2021,2.6054
A2319150301,2022,2.7356
A2319150302,2019,2.1172
A2319150302,2020,2.4490
A2319150302,2021,2.6054
A2319150302,2022,2.6314
A2319150303,2019,2.4109
A2319150303,2020,2.7034
A2319150303,2021,2.7586
A2319150303,2022,2.9517
A2319150304,2019,2.7554
A2319150304,2020,3.0897
A2319150304,2021,3.2184
A2319150304,2022,3.3793
A2319150305,2019,2.5328
A2319150305,2020,2.9609
A2319150305,2021,3.2184
A2319150305,2022,3.5080
A2319150306,2020,3.1218
A2319150306,2021,3.2184
A2319150306,2022,3.2506
A2419150401,2020,3.1303
A2419150401,2021,3.2950
A2419150401,2022,3.3939
A2419150402,2020,2.9985
A2419150402,2021,3.2950
A2419150402,2022,3.3609
A2419150403,2020,3.1356
A2419150403,2021,3.3716
A2419150403,2022,3.4391
A2419150404,2020,3.2414
A2419150404,2021,3.6015
A2419150404,2022,3.7456
A2419150405,2020,3.5310
A2419150405,2021,3.6782
A2419150405,2022,3.7885
A2420150406,2020,3.5670
A2420150406,2021,3.7548
A2420150406,2022,3.9050
A2520150501,2021,3.7548
A2520150501,2022,3.7923
A2520150502,2021,4.2146
A2520150502,2022,4.2567
A2520150503,2021,4.2912
A2520150503,2022,4.4628
A2520150504,2021,4.2912
A2520150504,2022,4.4199
A2520150505,2021,4.3678
A2520150505,2022,4.6299
A2520150506,2021,4.4444
A2520150506,2022,4.8889
A2620150601,2021,4.5211
A2620150601,2022,4.5663
A2620150602,2021,4.5977
A2620150602,2022,4.7356
A2620150603,2021,4.6743
A2620150603,2022,4.7678
A2620150604,2021,4.9042
A2620150604,2022,4.9533
A2620150605,2021,4.9808
A2620150605,2022,5.4789
A2620150606,2021,5.0575
A2620150606,2022,5.2092
A2720150701,2021,5.1341
A2720150701,2022,5.4421
A2721150702,2021,5.1341
A2721150702,2022,5.4421
A2721150703,2021,5.2874
A2721150703,2022,5.3931
A2721150704,2021,5.9004
A2721150704,2022,6.0774
A2721150705,2021,5.9770
A2721150705,2022,6.2161
A2721150706,2021,6.1303
A2721150706,2022,6.5594
A2821150801,2021,6.2069
A2821150801,2022,6.4552
A2821150802,2022,6.7862
A2821150803,2022,7.0161
A2821150804,2022,7.1647
A2821150805,2022,7.6966
A2821150806,2022,7.7893
A2918150101,2018,1.7510
A2918150101,2019,1.5759
A2918150101,2020,1.9241
A2918150101,2021,2.0690
A2918150102,2018,2.1184
A2918150102,2019,2.0125
A2918150102,2020,2.2299
A2918150102,2021,2.2989
A2918150103,2018,2.1184
A2918150103,2019,1.9490
A2918150103,2020,2.1617
A2918150103,2021,2.3755
A2918150104,2018,2.5126
A2918150104,2019,2.3618
A2918150104,2020,2.7310
A2918150104,2021,2.7586
A2918150104,2022,2.9517
A2918150105,2018,2.5718
A2918150105,2019,2.4689
A2918150105,2020,2.6789
A2918150105,2021,2.9119
A2918150105,2022,3.0284
A2918150106,2018,2.7465
A2918150106,2019,2.5268
A2918150106,2020,2.9533
A2918150106,2021,3.1418
A2918150106,2022,3.3617
A3018150201,2018,3.1043
A3018150201,2019,2.9491
A3018150201,2020,3.1356
A3018150201,2021,3.3716
A3018150201,2022,3.5402
A3018150202,2018,2.9468
A3018150202,2019,2.6521
A3018150202,2020,3.1019
A3018150202,2021,3.3716
A3018150202,2022,3.5739
A3018150203,2018,3.4229
A3018150203,2019,3.3887
A3018150203,2020,3.5655
A3018150203,2021,3.6015
A3018150203,2022,3.7816
A3019150204,2018,3.2446
A3019150204,2019,2.9526
A3019150204,2020,3.2774
A3019150204,2021,3.6015
A3019150204,2022,3.7096
A3019150205,2018,3.0480
A3019150205,2019,2.9870
A3019150205,2020,3.2774
A3019150205,2021,3.6015
A3019150205,2022,3.8176
A3019150206,2018,3.7039
A3019150206,2019,3.4446
A3019150206,2020,3.8582
A3019150206,2021,4.0613
A3019150206,2022,4.3050
A3119150301,2019,3.5723
A3119150301,2020,3.9195
A3119150301,2021,4.2146
A3119150301,2022,4.2989
A3119150302,2019,3.4592
A3119150302,2020,4.0889
A3119150302,2021,4.4444
A3119150302,2022,4.5778
A3119150303,2019,3.6777
A3119150303,2020,4.3471
A3119150303,2021,4.6743
A3119150303,2022,5.0950
A3120150304,2019,3.5980
A3120150304,2020,4.3931
A3120150304,2021,4.8276
A3120150304,2022,5.1655
A3120150305,2019,4.3107
A3120150305,2020,4.6322
A3120150305,2021,4.9808
A3120150305,2022,5.1303
A3120150306,2019,4.5759
A3120150306,2020,5.0207
A3120150306,2021,5.5172
A3120150306,2022,5.5724
A3220150401,2019,4.3523
A3220150401,2020,5.0345
A3220150401,2021,5.5939
A3220150401,2022,5.8176
A3220150402,2019,4.8178
A3220150402,2020,5.6322
A3220150402,2021,5.7471
A3220150402,2022,6.1494
A3220150403,2020,5.6897
A3220150403,2021,5.7471
A3220150403,2022,6.1494
A3220150404,2020,5.6322
A3220150404,2021,5.7471
A3220150404,2022,6.2644
A3220150405,2020,5.6490
A3220150405,2021,5.8238
A3220150405,2022,6.2897
